Phoneme Tag,Class,Precision_Train,Recall_Train,F1_Train,Support_Train,Precision_Dev,Recall_Dev,F1_Dev,Support_Dev
EE,1,0.8975356679636836,0.8439024390243902,0.8698931489629164,820.0,0.86,0.7610619469026548,0.8075117370892019,226.0
FF,0,0.9463286137635825,0.9917184265010351,0.9684919966301601,2898.0,0.9179415855354659,0.9806835066864784,0.9482758620689655,673.0
FF,1,0.9503105590062112,0.7379421221864951,0.8307692307692307,622.0,0.8898305084745762,0.6402439024390244,0.7446808510638299,164.0
G,0,0.9595536959553695,0.9874416935773233,0.9732979664014146,2787.0,0.9630723781388478,0.978978978978979,0.9709605361131795,666.0
G,1,0.8694029850746269,0.667621776504298,0.7552674230145866,349.0,0.8157894736842105,0.7126436781609196,0.7607361963190185,87.0
HH,0,0.9374824782730586,0.9864306784660767,0.9613339082938048,3390.0,0.8951132300357568,0.9652956298200515,0.9288806431663573,778.0
HH,1,0.885286783042394,0.6141868512110726,0.7252298263534219,578.0,0.7352941176470589,0.4601226993865031,0.5660377358490566,163.0
IH,0,0.9638433210579176,0.9829293274155002,0.9732927653820149,2929.0,0.9829545454545454,0.9746478873239437,0.9787835926449787,710.0
IH,1,0.8933901918976546,0.7950664136622391,0.8413654618473895,527.0,0.85,0.8947368421052632,0.8717948717948718,114.0
II,0,0.9749470712773465,0.9871382636655949,0.9810047931830285,2799.0,0.963020030816641,0.9689922480620154,0.9659969088098918,645.0
II,1,0.9421221864951769,0.8919330289193302,0.9163408913213448,657.0,0.8895027624309392,0.8702702702702703,0.8797814207650274,185.0
J,0,0.958810888252149,0.9878228782287823,0.9731006906579426,2710.0,0.9461883408071748,0.9634703196347032,0.9547511312217195,657.0
J,1,0.8821428571428571,0.6823204419889503,0.7694704049844238,362.0,0.6883116883116883,0.5955056179775281,0.6385542168674699,89.0
K,0,0.970304114490161,0.9934065934065934,0.9817194570135747,2730.0,0.9610194902548725,0.9831288343558282,0.9719484457922669,652.0
K,1,0.9154929577464789,0.7014388489208633,0.7942973523421588,278.0,0.828125,0.6708860759493671,0.7412587412587414,79.0
LL,0,0.952074391988555,0.9921729407379799,0.9717101660887023,2683.0,0.9198767334360555,0.9770867430441899,0.9476190476190475,611.0
LL,1,0.9605263157894737,0.7922480620155039,0.8683092608326253,645.0,0.9020979020979021,0.712707182320442,0.7962962962962963,181.0
MM,0,0.9402777777777778,0.9912152269399708,0.9650748396293657,2732.0,0.9225251076040172,0.9892307692307692,0.9547141796585004,650.0
MM,1,0.9625,0.7817258883248731,0.8627450980392157,788.0,0.9513888888888888,0.7172774869109948,0.817910447761194,191.0
NN,0,0.9578090303478904,0.9915708812260536,0.9743975903614457,2610.0,0.9365079365079365,0.9800664451827242,0.9577922077922079,602.0
NN,1,0.9648562300319489,0.841225626740947,0.8988095238095237,718.0,0.9302325581395349,0.8,0.8602150537634408,200.0
OH,0,0.9526184538653366,0.9841737210158262,0.9681390296886313,2717.0,0.9619883040935673,0.9850299401197605,0.9733727810650888,668.0
OH,1,0.9264957264957265,0.802962962962963,0.8603174603174604,675.0,0.9236641221374046,0.8231292517006803,0.8705035971223022,147.0
OO,0,0.9601567602873938,0.9882352941176471,0.9739937054828557,2975.0,0.9467213114754098,0.9774330042313117,0.9618320610687023,709.0
OO,1,0.9235807860262009,0.7761467889908257,0.843469591226321,545.0,0.8518518518518519,0.7022900763358778,0.7698744769874476,131.0
OW,0,0.9837340876944838,0.9932167083184577,0.9884526558891455,2801.0,0.9968354430379747,0.9559939301972686,0.9759876065065841,659.0
OW,1,0.9725433526011561,0.9360222531293463,0.9539333805811481,719.0,0.8578431372549019,0.9887005649717514,0.9186351706036745,177.0
OY,0,0.9477401129943502,0.9824304538799414,0.9647735442127965,2732.0,0.9388379204892966,0.9374045801526718,0.9381207028265853,655.0
OY,1,0.9230769230769231,0.7955801104972375,0.85459940652819,724.0,0.7657142857142857,0.7701149425287356,0.7679083094555873,174.0
P,0,0.960586319218241,0.9935983827493261,0.9768135144087446,2968.0,0.9402173913043478,0.9885714285714285,0.9637883008356546,700.0
P,1,0.8538461538461538,0.47844827586206895,0.6132596685082872,232.0,0.7837837837837838,0.3972602739726027,0.5272727272727272,73.0
RR,0,0.945597709377237,0.992114156965828,0.9682975994135972,2663.0,0.9364844903988183,0.9649923896499238,0.9505247376311845,657.0
RR,1,0.9553191489361702,0.7470881863560732,0.838468720821662,601.0,0.7909090909090909,0.6692307692307692,0.725,130.0
SH,0,0.9589725294327506,0.984254851702673,0.9714492229851825,2731.0,0.9279538904899135,0.9757575757575757,0.9512555391432791,660.0
SH,1,0.9269949066213922,0.8260211800302572,0.8736,661.0,0.872,0.6855345911949685,0.7676056338028169,159.0
SS,0,0.9636299435028248,0.9855543517515348,0.974468844849134,2769.0,0.9894419306184012,0.9647058823529412,0.9769173492181683,680.0
SS,1,0.9418604651162791,0.8628495339547271,0.9006254343293953,751.0,0.8628571428571429,0.9556962025316456,0.906906906906907,158.0
T,0,0.9796954314720813,0.9930172730613744,0.9863113706880818,2721.0,0.977645305514158,0.9924357034795764,0.984984984984985,661.0
T,1,0.8978494623655914,0.7488789237668162,0.8166259168704156,223.0,0.8571428571428571,0.6666666666666666,0.75,45.0
TH,0,0.9366500829187396,0.9836293974225009,0.9595650696568128,2871.0,0.8909348441926346,0.9797507788161994,0.9332344213649852,642.0
TH,1,0.8753315649867374,0.6333973128598849,0.734966592427617,521.0,0.8796296296296297,0.5523255813953488,0.6785714285714285,172.0
UE,0,0.9595070422535211,0.992352512745812,0.9756534192624419,2746.0,0.9523809523809523,0.9865470852017937,0.9691629955947136,669.0
UE,1,0.9619565217391305,0.8219814241486069,0.8864774624373958,646.0,0.9256198347107438,0.7724137931034483,0.8421052631578948,145.0
UH,0,0.96399074991741,0.9911684782608695,0.9773907218221403,2944.0,0.9578059071729957,0.9605077574047954,0.9591549295774647,709.0
UH,1,0.9287671232876712,0.7566964285714286,0.833948339483395,448.0,0.7307692307692307,0.7169811320754716,0.7238095238095238,106.0
VV,0,0.92019600980049,0.9902071563088513,0.9539187227866472,2655.0,0.9227467811158798,0.9923076923076923,0.9562638991845811,650.0
VV,1,0.9514018691588785,0.6906377204884667,0.800314465408805,737.0,0.9557522123893806,0.6666666666666666,0.7854545454545454,162.0
WW,0,0.9471658502449265,0.987956204379562,0.9671311182565202,2740.0,0.9093610698365527,0.972972972972973,0.9400921658986175,629.0
WW,1,0.9187192118226601,0.7118320610687023,0.8021505376344087,524.0,0.8468468468468469,0.6064516129032258,0.706766917293233,155.0
YY,0,0.9403669724770642,0.9907063197026023,0.9648805213613324,2690.0,0.9008746355685131,0.9840764331210191,0.9406392694063926,628.0
YY,1,0.9418604651162791,0.705574912891986,0.8067729083665339,574.0,0.8969072164948454,0.5612903225806452,0.6904761904761905,155.0
ZZ,0,0.9533527696793003,0.9856819894498869,0.9692478695813264,2654.0,0.9212481426448736,0.9810126582278481,0.950191570881226,632.0
ZZ,1,0.934931506849315,0.8100890207715133,0.8680445151033386,674.0,0.9016393442622951,0.6748466257668712,0.7719298245614035,163.0
